LCLid,consumo_total,consumo_medio,consumo_std,consumo_max,consumo_min,consumo_mediana,dias_registrados,dias_consumo_cero,energy_count_promedio,consumo_invierno,consumo_otono,consumo_primavera,consumo_verano,consumo_finde,consumo_semana,stdorToU,Acorn,Acorn_grouped,ratio_invierno_verano,ratio_finde_semana,coef_variacion_diario,intensidad_pico_diario,pct_dias_consumo_cero,ratio_invierno_verano_clip,ratio_finde_semana_clip,coef_variacion_diario_clip,intensidad_pico_diario_clip
MAC002909,4946.089000800001,8.202469321393036,4.1359364503932845,29.980000200000006,0.017,6.648999999999999,603,0,47.807628524046436,10.746694920338983,8.232978021428572,6.990597826086956,5.936756578947369,9.557034886046512,7.6619002329466355,ToU,ACORN-F,Comfortable,1.8101960165003825,1.2473450904001069,0.5042305900950671,3.654996485852383,0.0,1.8101960165003825,1.2473450904001069,0.5042305900950671,3.654996485852383
MAC002910,4372.5179999,7.203489291433279,1.1996514802034295,17.157,0.168,7.2429999999999986,607,0,47.88467874794069,7.922250000000001,7.023917581868131,7.273478260869565,6.529411764705882,7.574959302325581,7.056609195172414,ToU,ACORN-O,Adversity,1.213317381744185,1.0734558226707465,0.16653752995684745,2.381762077253563,0.0,1.213317381744185,1.0734558226707465,0.16653752995684745,2.381762077253563
MAC002911,2775.4970000000003,4.595193708609272,1.5664616994829754,7.814000000000001,0.0,4.991,604,28,47.91556291390729,3.47555,5.340582417582418,4.24983695652174,5.246180000000001,4.897970930232559,4.474643518518519,Std,ACORN-Q,Adversity,0.6624914390105868,1.094605596033849,0.34089125680532095,1.700472013810465,0.046357615817288714,0.6624914390105868,1.094605596033849,0.34089125680532095,1.700472013810465
MAC002912,10690.3890009,17.640905942079208,3.4541935921063263,28.577999800000004,0.261,17.363500000000002,606,0,47.726072607260726,17.785994446666667,17.181406593406592,17.929652177173914,17.84451315921053,19.69835465290698,16.825511522119815,Std,ACORN-H,Comfortable,0.9967205768662714,1.1707432167079816,0.19580589611676763,1.6199847260591989,0.0,0.9967205768662714,1.1707432167079816,0.19580589611676763,1.6199847260591989
MAC002913,18309.5299995,30.16397034514003,16.203062813077885,70.25000059999999,1.108,30.879,607,0,47.87973640856672,46.58334998888889,26.502994506593406,36.09871739673913,11.633333338562093,30.179517444186047,30.157822986436784,Std,ACORN-M,Adversity,4.004299079970112,1.000719331002098,0.5371660988428998,2.328937386797994,0.0,4.004299079970112,1.000719331002098,0.5371660988428998,2.328937386797994
MAC002914,3442.424,5.680567656765676,1.8497411267285122,12.791000000000002,0.075,5.476,606,0,47.7970297029703,6.55,5.386500000000001,6.192706521739131,4.693105263157896,6.682482558139536,5.2834953917050695,Std,ACORN-E,Affluent,1.395664115133979,1.2647841623646856,0.325626048815629,2.2517111882391654,0.0,1.395664115133979,1.2647841623646856,0.325626048815629,2.2517111882391654
MAC002915,8229.7039993,13.58036963580858,5.004835916968267,29.370999900000005,0.162,14.232999999999999,606,0,47.803630363036305,14.445527773333334,13.71880219945055,14.586500001086955,11.78111184013158,13.319633719767443,13.683702763824886,ToU,ACORN-H,Comfortable,1.2261598687116892,0.97339389610144,0.36853456000468554,2.1627539253276975,0.0,1.2261598687116892,0.97339389610144,0.36853456000468554,2.1627539253276975
MAC002916,2576.318,4.244345963756178,0.8581292237186768,7.030000000000002,0.067,4.284000000000002,607,0,47.878088962108734,3.956255555555556,4.411763736263737,4.279869565217392,4.362764705882353,4.176633720930233,4.271119540229885,Std,ACORN-Q,Adversity,0.9068228326406124,0.9778777446317244,0.202181685674266,1.6563207626594614,0.0,0.9068228326406124,0.9778777446317244,0.202181685674266,1.6563207626594614
MAC002917,3854.0879999000003,6.349403624217463,1.2104784308935839,10.9839999,0.071,6.333000000000002,607,0,47.72158154859967,6.393005555000001,6.151456043956045,6.720978260869566,6.310143790849674,6.212976743604651,6.403347126436782,Std,ACORN-Q,Adversity,1.0131313570285239,0.9702700245132438,0.19064439936252608,1.729925961578442,0.0,1.0131313570285239,0.9702700245132438,0.19064439936252608,1.729925961578442
MAC002918,8727.5109998,14.378107083690281,4.171983489313558,43.04100010000001,0.6809999999999999,14.205000000000004,607,0,47.80560131795717,16.330905554444445,13.809967032967034,14.407152173913044,12.739058823529412,14.432726743023256,14.356510344827587,ToU,ACORN-F,Comfortable,1.2819553232869503,1.00530876870885,0.2901622011066965,2.9935092885289483,0.0,1.2819553232869503,1.00530876870885,0.2901622011066965,2.9935092885289483
