LCLid,consumo_total,consumo_medio,consumo_std,consumo_max,consumo_min,dias_registrados,tarifa,acorn,Acorn_grouped,consumo_invierno,consumo_otono,consumo_primavera,consumo_verano,consumo_finde,consumo_semana
MAC001570,9892.9039988,15.29042349119011,4.704612393862474,33.7820001,0.268,647,Std,ACORN-F,Comfortable,17.96612777388889,15.619884608241758,14.790554454455448,12.621391309239131,14.320777174456522,15.675768895680346
MAC001571,22995.0480078,35.54103246955178,30.55139706841668,159.4270004999999,0.545,647,Std,ACORN-E,Affluent,65.93260558,29.967587919780218,28.778673291089106,15.034956519565217,35.07691847282609,35.72547518099352
MAC001572,5209.3500001,8.051545595208657,1.1376361147851815,14.031,0.052,647,Std,ACORN-E,Affluent,8.494377777777778,7.955862637362638,7.903415841584159,7.794293478804348,7.863554348369566,8.126254859611231
MAC001573,3381.9320000000002,5.227097372488409,0.8452826966483739,9.078000000000005,0.116,647,Std,ACORN-F,Comfortable,5.614738888888889,5.239648351648351,5.1595247524752486,4.872559782608696,5.321152173913044,5.1897192224622035
MAC001574,2993.6870000000004,4.828527419354839,1.435333614765811,9.304,0.076,620,Std,ACORN-Q,Adversity,4.16659477124183,5.5864725274725275,4.346326732673267,4.89391847826087,4.869363636363636,4.81234009009009
MAC001575,12585.288997,19.512075964341086,8.184084844190425,45.2929997,0.3670000000000001,645,Std,ACORN-E,Affluent,28.04157221777778,18.493313184065936,16.530272722222225,13.780032602173915,19.31436956902174,19.59098697678959
MAC001576,15783.917002,24.4711891503876,9.72841703559036,55.425999899999994,0.134,645,ToU,ACORN-E,Affluent,30.543461109444443,26.39786263956044,24.04573738181818,16.854103266847826,24.34886412826087,24.520013020390458
MAC001577,2981.1509994000003,9.463971426666667,3.6687605424911856,31.329999699999995,0.068,315,Std,ACORN-E,Affluent,10.107477775555557,10.075120875824176,9.805000002380954,8.074260867391304,9.164733333333334,9.583666664
MAC001578,7564.4850001,11.727883721085272,1.500228524415226,15.903,0.072,645,Std,ACORN-K,Adversity,12.596511111666668,11.598549450549452,11.855818181818181,10.937233695652173,11.984864130434783,11.62531453383948
MAC001579,15492.759997000001,24.01978294108527,5.383410095754017,42.7410004,0.214,645,Std,ACORN-C,Affluent,27.160494436666667,24.295692303296704,23.476919185858588,20.96652173804348,25.742554336956523,23.332169195227767
