casa,cluster_consumo,horario_consumo,semanal,tipo_consumo
MAC000221,2,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000222,2,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000223,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000224,2,consumo_tarde_estable,consumo_fin_semana_variable,picos_moderados_variabilidad_media
MAC000225,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000226,0,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000227,0,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000228,0,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000229,0,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000230,0,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000231,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000232,1,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000233,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000234,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000235,2,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000236,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000237,2,consumo_tarde_estable,consumo_fin_semana_variable,picos_moderados_variabilidad_media
MAC000238,0,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000239,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000240,0,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000241,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000242,1,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000243,0,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000244,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000245,2,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000246,2,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000247,0,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000248,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000249,2,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000250,0,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000251,0,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000252,2,consumo_madrugada_variable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000253,0,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000254,0,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000255,0,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000256,2,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000257,2,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000258,0,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
