casa,horario_consumo,semanal,tipo_consumo
MAC000227,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000228,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000229,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000230,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000231,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000232,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000233,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000234,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000235,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000236,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000237,consumo_tarde_estable,consumo_fin_semana_variable,picos_moderados_variabilidad_media
MAC000238,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000239,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000240,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000241,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000242,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000243,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000244,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000245,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000246,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000247,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000248,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000249,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000250,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000251,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000252,consumo_madrugada_variable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000253,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000254,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000255,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000256,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000257,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000258,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000259,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000260,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000261,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000262,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
