LCLid,log_consumo_mediana,intensidad_pico_diario_clip,ratio_invierno_verano_clip,ratio_finde_semana_clip,share_madrugada,share_manana,share_tarde,share_noche,peak_to_avg_period_clip,periodo_pico_sin,periodo_pico_cos
MAC001016,2.28691292359975,1.7767645025295253,1.4241304257787148,1.1508021756186697,0.12182124289814757,0.1995287283238539,0.29177314244377955,0.38687688617065114,1.8155386873906494,-0.6087614290087209,0.7933533402912349
MAC001017,1.5610876514930536,1.9481710674879893,1.475664702028732,0.9699980502431509,0.20832076156725757,0.16484018972241715,0.1851023581933112,0.44173669012618455,2.079256379963646,-0.38268343236508956,0.9238795325112868
MAC001018,1.5809355519613881,1.348042021022297,1.051400778267388,1.022623819775576,0.14351011878249187,0.24582697991427635,0.2919960998843068,0.3186668010233874,1.5743780672664953,-0.7933533402912357,0.6087614290087199
MAC001019,1.5678864852758654,3.4951868373259702,0.9862223041389083,0.9952564744994681,0.2988053257631139,0.1278859227005325,0.26954473844966625,0.30376401268900627,1.2915823736540342,0.6087614290087207,0.7933533402912352
MAC001020,2.7101479991843562,2.482264850742528,2.2406224283385314,1.0660371369019694,0.19601171188624145,0.24459082430505039,0.24323065036796138,0.3161668133152926,1.391536308856687,-0.7071067811865477,0.7071067811865474
MAC001021,1.482740259388143,3.8319199452412676,1.4365633524716173,1.1600592061524395,0.08090887894852598,0.22775986653125443,0.3564253573489852,0.3349058967313976,3.6609261407254405,-0.9659258262890683,-0.25881904510252063
MAC001022,1.4988414910920738,4.46282662189126,2.3171738206154235,0.9588555093379797,0.19371042535682287,0.27097514167119374,0.19756258084364275,0.3377518518117599,1.462801486552386,-0.7933533402912357,0.6087614290087199
MAC001023,2.14972524634971,1.5648549610379043,0.9603384034553394,0.9926235383897718,0.16427439040278866,0.2305309390992135,0.2755766134891153,0.32961805680697986,1.496621524457979,-0.6087614290087209,0.7933533402912349
MAC001024,1.3963684466913653,2.6064953207445347,0.9462189856903012,1.0369089430432727,0.08890435227192611,0.3256316233872467,0.3560083787640397,0.22945564506437643,2.409113083276164,0.3826834323650899,-0.9238795325112867
MAC001025,1.520825254077497,2.1516441156839674,1.2720581777194633,0.978955848908385,0.12937655661696779,0.2481360116231117,0.22564106452928062,0.3968463668084215,2.4294723565351712,-0.9659258262890684,0.2588190451025203
MAC001026,2.372903751902999,3.927783512284115,1.2729377025628668,1.081314354077421,0.200844216628578,0.20822356354661825,0.24467043187402213,0.34626178780696276,1.5411906162216071,-0.5000000000000004,0.8660254037844384
MAC001027,2.1339297269639057,2.5586280061531315,1.3249726429024953,1.0145671010164103,0.11010010574986412,0.2361393947770511,0.33764069415477993,0.3161198051201894,2.6637204844614164,-0.9659258262890683,-0.25881904510252063
MAC001028,2.4579207847030133,2.066801994608447,1.766678947391653,1.0095328128509682,0.1381609237409566,0.2908740898313662,0.27519637669794983,0.2957686095836572,1.3538198549618303,-0.9659258262890684,0.2588190451025203
MAC001029,2.3775534092313513,3.5943611400120195,1.4247323752125856,1.2721751840469047,0.2050001333664486,0.2268222204047535,0.26194294407411983,0.3062347020192003,1.3132619367356146,-0.5000000000000004,0.8660254037844384
MAC001030,1.000631880307906,5.69907905904139,1.8120086260428192,0.9626332636325595,0.10581283872537145,0.30906384502943374,0.28461959447394586,0.30050372107405693,1.6922652174216632,0.49999999999999994,-0.8660254037844387
MAC001031,2.66486430365261,1.7901661508375766,1.396363543249571,1.0199210472779168,0.10006522852943145,0.19138045716212979,0.34186540286390193,0.36668891133702314,1.8829364126218153,-0.9659258262890684,0.2588190451025203
MAC001032,3.0744510305761312,2.5210052389113025,2.297647303697803,1.1597056697735966,0.08171282752934855,0.17538538212193133,0.36418138714692294,0.37872040313515065,1.7829562073820575,-0.9914448613738105,0.13052619222005127
MAC001033,2.365747667951686,3.581302059004012,3.32863324308281,0.9780656453756038,0.20418957737768537,0.31055696197241667,0.2232280764136831,0.262025384110066,1.774912179876964,0.8660254037844387,-0.49999999999999983
MAC001034,2.1701959049483,1.4239953614969343,0.9736741752756827,1.0285216861255084,0.1325268358142327,0.31770393746901865,0.27286769234227104,0.27690153418098923,1.6942589218641313,0.6087614290087209,-0.793353340291235
MAC001035,1.8805331812814825,3.4671715976514697,1.4183694336015717,1.0752053642947033,0.15111491204273583,0.23745776323318477,0.2634369450078592,0.34799037946222217,1.5505912254016718,-0.6087614290087209,0.7933533402912349
MAC001036,3.633763068913611,1.6922066998111454,1.3406359938810528,1.1085116542194284,0.1640008156014237,0.2701582117520243,0.26903875155070184,0.296802221056157,1.4956378714764098,-0.9914448613738105,0.13052619222005127
MAC001037,2.1166168952798934,2.6621159352944543,1.0045269907810572,0.8429669484720432,0.21833299648070018,0.23193761057564427,0.27924943324673224,0.27047995949403886,1.2881451883708805,-0.9659258262890683,-0.25881904510252063
MAC001038,1.8023696483400706,1.8394578301037092,0.9371772701025947,0.9988139791038096,0.1802356668626803,0.3667395406130032,0.24706269758557237,0.20596209464446222,1.5575803011879885,0.6087614290087209,-0.793353340291235
MAC001039,2.218986069117732,3.230890055136329,1.376709022891228,1.0023731597764798,0.11186866720402519,0.2837093456533382,0.2723453076353658,0.33207667933314666,1.866689741912808,-0.9914448613738105,0.13052619222005127
MAC001040,2.6777971579311894,1.8119431019474097,1.218960918560976,1.0592481072882638,0.1769652018047165,0.18787153984531416,0.2502527317998308,0.3849105264408019,1.766215826517034,-0.8660254037844386,0.5000000000000001
MAC001041,1.9461958225324743,2.1012336862454855,1.2109250144312855,1.0452747649671057,0.13771715880354007,0.23993761586674486,0.24632683207712555,0.376018393002493,1.9409298965031532,-0.8660254037844386,0.5000000000000001
MAC001042,1.9966032633708315,2.1401845380261593,1.2761136068127334,0.9215052671372739,0.11073458568858999,0.2459440143462648,0.24853129121027415,0.3947901085151308,1.9557479734684682,-0.7071067811865477,0.7071067811865474
MAC001043,0.6211139776601139,2.8412188513770977,0.5908778564658622,0.9884483337344075,0.25283686745051087,0.19161990180812413,0.22369983650293665,0.3318433926071071,1.449086952029056,-0.13052619222005168,0.9914448613738104
MAC001044,3.0843382118880154,4.522005834655955,1.6361518127504069,1.1013397174968729,0.14400746391391017,0.28357825450356755,0.2603755119993892,0.3120387695160114,1.5383183953176418,-0.9659258262890684,0.2588190451025203
